# Plate,T2,Quality,POOR,FWHM_MAX,25
# IS_median_FWHM,21.0,Samp_median_FWHM,8.0,IS_per_well,3.3
Well,N_Peaks,MF,Status,Scans,Norm_Areas
E04,3,0.4423,low MF (3 peaks),2369;2465;2581,3.84;3.78;6.31
E05,3,0.5350,low MF (3 peaks),2487;2564;2665,5.33;5.32;8.03
E06,3,0.4927,low MF (3 peaks),2503;2585;2687,6.12;6.11;8.93
E07,3,0.3733,low MF (3 peaks),2500;2580;2647,4.48;6.37;13.69
E08,1,0.0000,homozygous (1 peak),2483,11.50
E09,1,0.0000,homozygous (1 peak),2239,13.65
E10,2,0.2745,het-like (2 peaks),2309;2391,3.79;5.79
E11,4,0.4856,het (4 peaks),2630;2729;2861;2901,6.94;5.06;6.23;6.61
E12,3,0.5953,low MF (3 peaks),2532;2792;2828,14.90;8.03;8.21
F01,1,0.0000,homozygous (1 peak),2565,21.58
F02,1,0.0000,homozygous (1 peak),2645,17.19
F03,1,0.0000,homozygous (1 peak),2530,20.10
F04,2,0.4305,het-like (2 peaks),2394;2603,6.81;6.25
F05,1,0.0000,homozygous (1 peak),2534,12.73
F06,1,0.0000,homozygous (1 peak),2578,25.45
F07,3,0.3753,low MF (3 peaks),2494;2574;2643,3.35;3.98;9.02
F08,3,0.4038,low MF (3 peaks),2509;2583;2648,4.29;4.33;8.24
F09,1,0.0000,homozygous (1 peak),2298,10.85
F10,1,0.0000,homozygous (1 peak),2341,14.01
F11,4,0.4850,het (4 peaks),2568;2662;2789;2829,8.93;4.29;6.56;7.14
F12,4,0.4952,het (4 peaks),2563;2674;2823;2865,18.44;6.09;9.37;12.34
G01,1,0.0000,homozygous (1 peak),2619,31.99
G02,1,0.0000,homozygous (1 peak),2692,27.29
G03,3,0.5217,low MF (3 peaks),2417;2500;2592,5.61;6.50;8.37
G04,2,0.3790,het-like (2 peaks),2417;2438,13.29;8.11
G05,3,0.4454,low MF (3 peaks),2462;2530;2628,3.47;3.65;7.70
G06,1,0.0000,homozygous (1 peak),2459,17.04
G07,1,0.0000,homozygous (1 peak),2683,9.62
G08,2,0.3018,het-like (2 peaks),2556;2623,5.58;8.32
G09,3,0.3951,low MF (3 peaks),2252;2325;2396,3.78;2.83;6.78
G10,3,0.3985,low MF (3 peaks),2263;2340;2414,4.66;3.05;8.32
G11,1,0.0000,homozygous (1 peak),2668,20.76
G12,1,0.0000,homozygous (1 peak),2673,15.14
H01,3,0.5716,low MF (3 peaks),2488;2561;2587,3.02;2.57;1.47
H02,3,0.6449,low MF (3 peaks),2511;2623;2731,9.23;6.53;9.68
H03,3,0.5222,low MF (3 peaks),2409;2511;2623,5.75;5.73;7.71
H04,1,0.0000,homozygous (1 peak),2365,13.70
H05,2,0.4644,het-like (2 peaks),2499;2503,7.66;8.83
H06,1,0.0000,homozygous (1 peak),2469,16.64
H07,0,0.0000,no peaks,,
H08,2,0.4230,het-like (2 peaks),2491;2506,12.59;9.23
H09,1,0.0000,homozygous (1 peak),2254,12.92
H10,2,0.3488,het-like (2 peaks),2370;2438,4.35;6.73
H11,1,0.0000,homozygous (1 peak),2691,22.31
H12,1,0.0000,homozygous (1 peak),2665,21.20
